127.0.0.1, 2016-05-13 21:25:16, GET, /, HTTP/1.1, 303, 0.011541
127.0.0.1, 2016-05-13 21:25:17, GET, /welcome/default/index, HTTP/1.1, 200, 0.676454
127.0.0.1, 2016-05-13 21:25:17, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000815
127.0.0.1, 2016-05-13 21:25:17, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000649
127.0.0.1, 2016-05-13 21:25:17, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000664
127.0.0.1, 2016-05-13 21:25:17, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000639
127.0.0.1, 2016-05-13 21:25:17, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001194
127.0.0.1, 2016-05-13 21:25:17, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000751
127.0.0.1, 2016-05-13 21:25:17, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000426
127.0.0.1, 2016-05-13 21:25:17, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000450
127.0.0.1, 2016-05-13 21:25:17, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000396
127.0.0.1, 2016-05-13 21:25:17, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000599
127.0.0.1, 2016-05-13 21:25:18, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000684
127.0.0.1, 2016-05-13 21:25:18, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000907
127.0.0.1, 2016-05-13 21:25:19, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000811
127.0.0.1, 2016-05-13 21:25:19, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000595
127.0.0.1, 2016-05-13 21:25:19, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000612
